path,type,area,purpose,imported_by,imports,runtime_used (yes/no/unknown),business_critical (yes/no/unknown),duplicate_of,legacy_flag (yes/no),delete_candidate (yes/no/maybe),confidence,notes
attached_assets/Pasted-Fixes-for-Identified-Issues-and-Enhancements-Thank-you-for-the-screenshots-and-notes-these-confirm-t-1758119256820_1758119256837.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Fixes-to-get-Sales-Stock-Email-Library-working-0-Clean-up-duplicates-Delete-ignore-client-s-1754663515862_1754663515865.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Folder-Structure-Recap-server-prisma-schema-prisma-routes-analysisDailyReview-ts-prisma-cli-1761140556955_1761140556957.txt,other,attached_assets,schema/database definition,,,unknown,unknown,,yes,maybe,LIKELY,
attached_assets/Pasted-Folder-Structure-Recap-server-prisma-schema-prisma-routes-analysisDailyReview-ts-prisma-cli-1761140601189_1761140601191.txt,other,attached_assets,schema/database definition,,,unknown,unknown,,yes,maybe,LIKELY,
attached_assets/Pasted-Follow-this-exactly-Do-not-deviate-SBB-CUSTOMLI-RESTAUR_1765785371115.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Food-costings-Supplier-Details-Cost-Unit-Measurement-Supplier-Brand-Serving-Size-Portion-weight-1752529883838_1752529883843.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Food-costings-Supplier-Details-Cost-Unit-Measurement-Supplier-Brand-Serving-Size-Portion-weight-1752569600643_1752569600648.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Form-Fix-Workflow-Implementation-Direct-fix-for-the-error-in-DailyStockSales-tsx-line-308-The-f-1752773656460_1752773656468.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Fort-Knox-Lockdown-Fix-DB-Schema-Complete-Loyverse-Viewing-Search-Purge-Execute-ONLY-Update-exist-1757949924945_1757949924949.txt,other,attached_assets,schema/database definition,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Fort-Knox-Lockdown-Fix-Sync-Reversal-Viewing-Sub-Menu-Execute-ONLY-Update-existing-files-Data-ac-1758122181035_1758122181051.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Fort-Knox-Lockdown-Implement-Home-Viewing-Pre-Sets-Past-Pulls-Execute-ONLY-Update-existing-files-1757954617934_1757954617940.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Fort-Knox-Lockdown-Implement-Loyverse-Viewing-Date-Search-Storage-Limits-Execute-ONLY-Update-exi-1757947588259_1757947588260.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Fort-Knox-Super-Patch-Jussi-Daily-Management-Report-DO-NOT-MODIFY-WITHOUT-CAM-S-EXPLICIT-APPR-1758218924483_1758218924488.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Full-Fix-with-Enhancements-This-patch-makes-detection-fuzzy-case-insensitive-allows-partial-mat-1758596191242_1758596191244.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Full-Ingredient-Master-Patch-1-Schema-Update-assuming-Drizzle-setup-if-Prisma-I-ll-re-write-jus-1758652442365_1758652442369.txt,other,attached_assets,schema/database definition,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Full-Patch-POS-Upload-JSON-Storage-Reconciliation-Extractor-This-does-3-things-in-one-go-Fix-1758595126426_1758595126428.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Full-Patch-Package-1-Sidebar-Fix-client-src-components-Sidebar-tsx-or-equivalent-Replace-legac-1756706693635_1756706693637.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-GOLDEN-HOUR-PATCH-one-time-mega-patch-0-NPM-scripts-wire-it-all-up-Add-these-to-package-json--1760855446059_1760855446063.txt,other,attached_assets,unknown,,,unknown,unknown,,yes,maybe,LIKELY,
attached_assets/Pasted-Give-Bob-controlled-read-only-access-to-the-Replit-app-_1773307410611.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Goal-what-we-re-building-A-data-driven-dashboard-that-shows-the-latest-stored-Shift-Snapshot-with--1754925890492_1754925890494.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Goal-what-we-re-building-A-data-driven-dashboard-that-shows-the-latest-stored-Shift-Snapshot-with-1754918024806_1754918024813.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Goal-what-we-re-building-A-data-driven-dashboard-that-shows-the-latest-stored-Shift-Snapshot-with-1754918043444_1754918043447.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Goal-what-we-re-building-A-data-driven-dashboard-that-shows-the-latest-stored-Shift-Snapshot-with-1754918079933_1754918079934.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Golden-Hour-Final-Mile-Checklist-copy-paste-0-Prereqs-Ensure-LOYVERSE-TOKEN-is-set-in-the-env-1760856671553_1760856671557.txt,other,attached_assets,unknown,,,unknown,yes,,yes,maybe,LIKELY,
attached_assets/Pasted-Golden-Hour-SKU-Patch-Final-Map-1-Drop-in-file-server-services-burgerSkuMap-ts-export-type-Bur-1760881129096_1760881129099.txt,other,attached_assets,unknown,,,unknown,unknown,,yes,maybe,LIKELY,
attached_assets/Pasted-Golden-Patch-Bank-Upload-System-Full-Specification-1-Database-Schema-shared-schema-ts-Golden-1758031594446_1758031594450.txt,other,attached_assets,schema/database definition,,,unknown,unknown,,yes,maybe,LIKELY,
attached_assets/Pasted-Golden-Patch-Expenses-Import-Approval-System-Golden-Rules-1-Do-NOT-create-a-new-expenses-t-1757923958156_1757923958157.txt,other,attached_assets,unknown,,,unknown,yes,,yes,maybe,LIKELY,
attached_assets/Pasted-Good-This-is-important-Right-now-your-theft-audit-logic_1772481381448.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Good-This-is-important-Right-now-your-theft-audit-logic_1772487669934.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Good-call-this-one-is-actually-better-suited-to-Replit-_1774112973588.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Got-it-Cam-I-ll-ship-you-a-drop-in-9-00-AM-Bangkok-Daily-Review-Email-that-s-minimal-profession-1761563954652_1761563954658.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Got-it-Cam-This-needs-to-be-pure-execution-not-discussi_1767427050789.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Got-it-Cam-This-needs-to-be-pure-execution-not-discussi_1767428814659.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Got-it-Here-s-a-tight-do-this-now-patch-list-that-will-fix-deploy-and-the-missing-files-plus-the--1761243012283_1761243012286.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Got-it-Here-s-the-first-required-fix-the-updated-DailySalesAndStockForm-tsx-component-with-Emai-1754269888921_1754269888922.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Got-it-This-is-not-testing-this-is-completion-visibilit_1769570943730.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Got-it-This-is-not-testing-this-is-completion-visibilit_1769570970605.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Here-is-PATCH-O10-A-FULL-BACKEND-IMPLEMENTATION-OF-THE-_1765295334257.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Here-is-PATCH-O10-A-FULL-BACKEND-IMPLEMENTATION-OF-THE-_1765295403152.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Here-is-the-cleaned-up-scoped-version-of-JussiChatBubble-tsx-Positioned-middle-right-Styled--1754001406028_1754001406031.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Here-is-the-complete-and-fixed-jussiDailySummaryService-ts-file-This-version-correctly-Loads-rec-1753949773828_1753949773830.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-a-clean-collapsible-grouped-sidebar-accordion-style-that-matches-the-Lessa-look-no-dots--1755105383193_1755105383197.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-a-drop-in-patch-no-new-deps-you-can-hand-to-the-Replit-agent-It-updates-the-same-files-we--1760536887083_1760536887087.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-a-full-replacement-generate-email-html-function-for-your-Smash-Brothers-Burgers-Dashboard-e-1754288923325_1754288923326.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-a-single-patch-that-Adds-Shopping-and-Wages-columns-to-the-Daily-Sales-Analysis-page-table-1760394565829_1760394565832.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-a-single-self-contained-patch-that-Replaces-the-Stock-Review-page-with-a-tablet-first-com-1760521622717_1760521622722.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-a-tight-turnkey-drop-in-that-gives-you-Randomized-nightly-Manager-Checklist-from-your-que-1755279785222_1755279785229.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-a-tight-turnkey-plan-drop-in-code-to-ship-the-next-layer-for-Menu-Mgmt-per-recipe-photo--1755249554189_1755249554194.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-the-end-to-end-setup-so-Form-1-Form-2-merged-PDF-email-saved-to-Library-with-view-re-1755355002646_1755355002647.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-the-order-I-suggest-Patch-1-Daily-Sales-Library-pipeline-Fix-persistence-ensure-submi-1756268631499_1756268631501.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Here-s-the-updated-and-fixed-Receipts-tsx-that-pulls-from-real-jussi-daily-summaries-and-accurately--1753952409657_1753952409661.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-How-to-run-1-Save-as-PATCH-V3-3A-CSV-EXPORT-sh-at-repo-root-2-Run-BASE-URL-http-localhos-1760341854659_1760341854662.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-How-to-run-1-Save-this-at-repo-root-as-PATCH-V3-1-TIDY-sh-2-Run-BASE-URL-http-localhost-1760223985601_1760223985605.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-How-to-run-one-command-1-Save-to-repo-root-as-PATCH-FIX-AND-SMOKE-20251011-sh-2-Run-EN-1760207635190_1760207635194.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-How-to-run-one-command-1-Save-to-repo-root-as-PATCH-FIX-AND-SMOKE-20251011-sh-2-Run-EN-1760207654402_1760207654403.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-How-to-run-one-command-1-Save-to-repo-root-as-PATCH-FIX-AND-SMOKE-20251011-sh-2-Run-EN-1760207669404_1760207669406.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-How-to-run-one-command-1-Save-to-repo-root-as-PATCH-FIX-AND-SMOKE-20251011-sh-2-Run-EN-1760207704623_1760207704626.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-I-recommend-starting-over-with-a-minimal-version-bulletproof-with-only-essential-features-complete-1752909340515_1752909340522.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-I-see-you-ve-provided-an-updated-Daily-Shift-Form-component-Let-me-implement-this-improved-version--1753696970142_1753696970144.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-I-tightened-everything-to-match-the-reference-exactly-larger-section-headers-rail-only-collapse-n-1755106392743_1755106392745.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-I-understand-the-need-for-a-reliable-form-that-auto-calculates-totals-breaks-down-sales-expenses-a-1753089307932_1753089307941.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-I-want-Bob-to-have-full-read-only-visibility-of-the-ent_1774018069181.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-EXACTLY-THIS-Form-2-stock-restore-NO-DEVIATIONS-0-Inputs-you-already-have-use-these--1755533921816_1755533921818.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-EXACTLY-THIS-no-unapproved-changes-A-Final-polish-copy-fixes-Form-2-success-message--1755504017337_1755504017340.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-NOW-Daily-Stock-Shopping-Master-no-freestyle-0-What-we-have-constraints-Source-o-1755714785907_1755714785911.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-DO-NOT-DEVIATE-WITHOUT-APPROVAL-0-Freeze-report-no-code-changes-yet-Produce-a-1755502832395_1755502832397.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-DO-NOT-FREESTYLE-If-anything-below-doesn-t-match-the-repo-STOP-and-ask-for-approv-1755497421590_1755497421592.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-Daily-Stock-Form-2-FINAL-CUT-Scope-lock-do-only-this-Fix-the-UI-layout-to-a-t-1755802113740_1755802113743.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-EXACTLY-no-deviations-ask-before-changing-anything-1-Remove-floating-bar-show-ac-1755508669970_1755508669973.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-Fix-Form-2-layout-to-GRID-remove-Notes-1-Replace-item-renderer-with-a-grid-File--1755813844759_1755813844760.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-Form-2-Submit-finalize-stock-workflow-1-Button-copy-File-client-src-pages-1755856969910_1755856969912.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-NO-DEVIATIONS-ASK-IF-ANYTHING-IS-UNCLEAR-Purpose-Form-2-must-show-the-Requisition-1755536135912_1755536135913.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-ROUTING-ONLY-NO-FREESTYLE-Do-not-touch-DB-schema-server-Do-not-change-API-shape-1755498109717_1755498109719.txt,other,attached_assets,schema/database definition,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-exactly-nothing-more-Goal-Make-Next-on-Form-1-navigate-to-Form-2-reliably-no-ale-1755498975735_1755498975737.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENT-THIS-no-deviations-ask-before-changing-anything-Scope-Update-Form-2-Daily-Stock-ope-1755633958406_1755633958408.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENTATION-PACK-Daily-Stock-Form-2-Stock-Catalog-Import-Golden-rule-Implement-exactly-as-1755555446846_1755555446849.txt,other,attached_assets,unknown,,,unknown,yes,,yes,maybe,LIKELY,
attached_assets/Pasted-IMPLEMENTATION-PACK-Daily-Stock-Form-2-Stock-Catalog-Import-Golden-rule-Implement-exactly-as-1755628317574_1755628317576.txt,other,attached_assets,unknown,,,unknown,yes,,yes,maybe,LIKELY,
attached_assets/Pasted-Iceberg-Lettuce-1-kg-Code-135600-Tomatoes-Tor-Tomato-1-kg-Code-324363-White-Cabbage-Caterin-1751823669819_1751823669821.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Immediate-Fix-for-NaN-Errors-These-occur-when-Zod-useForm-gets-non-numeric-input-strings-empty-c-1752778585758_1752778585761.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Immediate-Fix-for-String-Number-Errors-These-are-from-Zod-expecting-numbers-but-getting-strings-fro-1752778236697_1752778236701.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Immediate-Next-Steps-Upload-the-Replit-project-as-a-ZIP-or-share-a-public-Replit-link-GitHub-repo--1752681894944_1752681894947.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Instructions-for-Replit-Agent-Fix-Database-Column-Mismatch-in-Daily-Sales-V2-Replit-Agent-Instru-1757170551332_1757170551334.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Item-Supplier-Brand-Cost-per-item-Package-Qty-Measurement-Minimum-Stock-Amount-if-applicable-For-I-1752489899216_1752489899219.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Item-Supplier-Brand-Cost-per-item-Package-Qty-Measurement-Minimum-Stock-Amount-if-applicable-For-I-1752504443750_1752504443755.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Key-Fixes-Items-Use-your-latest-lists-Fresh-Food-Salad-Tomatos-etc-Frozen-Chicken-Nuggets-e-1753287639130_1753287639140.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Key-Requirements-Alignment-Data-accuracy-latest-CSV-parsed-to-JSON-Simple-native-React-Sleek--1753598723634_1753598723639.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Let-s-lock-mobile-tablet-UX-properly-and-kill-the-caching-weirdness-Below-are-drop-in-patches-sm-1756022960996_1756022960998.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Locked-Delivering-PATCH-ACTUAL-USAGE-RESOLVER-This-is-t_1767243545302.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Locked-Option-2-store-the-charter-in-the-DB-versioned-a_1772460253571.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Locked-in-I-ve-updated-the-spec-to-handle-beef-95-g-patties-and-chicken-100-g-per-burger-count-1760591209043_1760591209047.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Loyverse-API-1-0-Using-the-REST-API-The-Loyverse-API-follows-the-general-patterns-of-REST-You-c-1751671896274_1751671896293.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-MEGA-PATCH-1-Server-normalize-drinks-fix-falsy-zeroes-File-server-forms-dailySalesV2-ts-Acti-1760622961246_1760622961248.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-MM-v1-0-Accuracy-Emergency-Runbook-copy-paste-to-agent-Target-day-change-MM-DAY-to-any-date--1761582988798_1761582988801.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-MM-v1-0-Accuracy-Emergency-Runbook-copy-paste-to-agent-Target-day-change-MM-DAY-to-any-date--1761584049047_1761584049052.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Make-It-So-Daily-Stock-Form-2-0-Outcome-Form-2-shows-only-Shift-info-read-only-when-a-shift--1755702905845_1755702905846.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Manager-Checklist-Modal-Standalone-Non-Blocking-1-Backend-Checklist-Generator-server-routes-c-1757852509637_1757852509639.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Manager-s-Nightly-Checklist-that-s-short-randomized-Thai-friendly-and-logged-Below-is-drop-in-co-1755264634226_1755264634229.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Master-system-prompt-paste-as-the-first-message-to-any-AI-working-on-this-repo-Context-Full-arch-1756651347467_1756651347469.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-Backfill-Rebuild-Verify-Agent-Runbook-Paste-this-whole-message-into-th-1760946928227_1760946928229.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-Backfill-Rebuild-Verify-Agent-Runbook-Paste-this-whole-message-into-th-1760952573299_1760952573301.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-Catalog-Import-Refresh-one-pass-1-Import-the-SKU-catalog-Command-copy-p-1760946161023_1760946161026.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-One-and-Done-Patch-What-this-delivers-Normalized-receipts-every-line-item--1760931977112_1760931977115.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-One-and-Done-Patch-What-this-delivers-Normalized-receipts-every-line-item--1760932075342_1760932075346.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-One-and-Done-Patch-What-this-delivers-Normalized-receipts-every-line-item--1760932211127_1760932211132.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-One-and-Done-Patch-What-this-delivers-Normalized-receipts-every-line-item--1760932343586_1760932343589.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-One-and-Done-Patch-What-this-delivers-Normalized-receipts-every-line-item--1760932343721_1760932343725.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-SKU-Reconciliation-Patch-One-Done-Paste-this-whole-message-to-the-Replit-1761019284568_1761019284571.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Meekong-Mumba-v1-0-SKU-Reconciliation-Patch-One-Done-Paste-this-whole-message-to-the-Replit-1761055275571_1761055275574.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Mekong-Mamba-v1-0-All-Items-Modifiers-Fix-ONE-PATCH-Paste-this-whole-message-to-the-Repli-1761572416484_1761572416489.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-Mekong-Mamba-v1-0-All-Items-Modifiers-Live-from-Loyverse-One-Patch-Paste-this-whole-plan-1761586982606_1761586982609.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Non-Negotiables-Read-First-Do-Not-Deviate-Do-not-modify-any-existing-frontend-UI-styling-routes-1754692892831_1754692892833.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-ONE-SHOT-PATCH-Purchasing-Shift-Log-for-Replit-agent-Goal-Track-per-shift-how-many-units-1764222703912_1764222703915.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Objective-Convert-Tasks-into-the-central-Work-Register-_1772469797954.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-One-Shot-Apply-Script-Save-as-apply-mega-patch-sh-at-repo-root-and-run-bash-apply-mega-patch-sh--1762936323026_1762936323032.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-One-shot-Frontend-Patch-Expenses-V2-1-Create-this-script-scripts-fix-frontend-expenses-v2-sh--1756196452972_1756196452976.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-One-shot-Frontend-Patch-Expenses-V2-1-Create-this-script-scripts-fix-frontend-expenses-v2-sh--1756196464617_1756196464618.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-One-shot-apply-Save-at-repo-root-as-apply-rolls-align-shiftdate-sh-and-run-bash-apply-rolls-align--1763044393426_1763044393432.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-One-shot-apply-script-Save-as-apply-rolls-shiftdate-simple-sh-at-repo-root-and-run-usr-bin-env-1762982819694_1762982819696.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-One-shot-fix-De-dupe-Catalog-Rebuild-1-Detect-duplicates-for-the-shift-Bangkok-time--1760907955592_1760907955597.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-Open-server-services-pos-ingestion-loyverse-js-and-at-the-top-where-the-token-is-read-set-js-Copy-1754713498052_1754713498053.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-PAC-E-PURCHASING-MASTER-SHOPPING-LIST-FINAL-PATCH-AGENT_1766216219051.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-PACK-F-INGREDIENT-MASTER-REFINEMENT-FINAL-PATCH-AGENT-R_1766265297789.txt,other,attached_assets,unknown,,,unknown,yes,,no,maybe,LIKELY,
attached_assets/Pasted-PATCH-1-Robust-header-mapping-in-importer-File-src-server-pos-uploadBundle-ts-Replace-the-helpe-1755982729653_1755982729665.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
attached_assets/Pasted-PATCH-12-IMPLEMENTATION-COPY-PASTE-FOR-REPLIT-AGENT-1-B_1767307818499.txt,other,attached_assets,unknown,,,unknown,unknown,,no,maybe,LIKELY,
